Humid;"T
";Divisor;Speed1;Speed2;Speed3;Name1;Name2;Name3
32;21;20;250;;;PCL_128_01_X50;PCL_128_02_X50;
32;23;40;280;300;320;PCL_129_01_X50;PCL_129_02_X50;PCL_129_03_X50
31;23;60;300;300;320;PCL_130_01_X50;PCL_130_02_X50;PCL_130_03_X50
27;23;15;200;300;;PCL_154_01_X50;PCL_154_02_X50;
27;23;30;200;300;;PCL_155_01_X50;PCL_155_02_X50;
32;22;45;200;300;;PCL_156_01_X50;PCL_156_02_X50;
31;22;60;200;300;;PCL_157_01_X50;PCL_157_02_X50;
31;23;60;250;300;;PCL_158_01_X50;PCL_158_02_X50;
31;23;75;250;300;;;PCL_159_02_X50;
31;23;90;250;300;;PCL_160_01_X50;PCL_160_02_X50;
31;23;15;200;300;;PCL_161_02_X50;PCL_161_01_X50;
31;23;90;280;300;;PCL_162_01_X50;PCL_162_02_X50;
31;23;150;280;300;;PCL_164_01_X50;PCL_164_02_X50;
31;23;15;200;300;;PCL_165_01_X50;PCL_165_02_X50;
31;23;150;300;300;;PCL_166_01_X50;PCL_166_02_X50;
24;23;150;310;300;;;PCL_168_02_X50;
24;23;150;320;300;;PCL_169_01_X50;PCL_169_02_X50;